,0
80,36954  >  5988 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
81,36954  >  5952 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
82,36954  >  6101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
83,36954  >  2968 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
84,36954  >  999 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
85,36954  >  1086 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
86,36954  >  1185 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
87,36954  >  32769 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
88,36954  >  5060 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
89,36954  >  1248 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
90,36954  >  1063 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
91,36954  >  6667 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
92,36954  >  9503 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
93,36954  >  1091 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
94,36954  >  10180 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
95,36954  >  500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
96,36954  >  1121 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
97,36954  >  8100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
98,36954  >  8402 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
99,36954  >  264 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
100,36954  >  15742 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
101,36954  >  50300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
102,36954  >  1700 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
103,36954  >  5001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
104,36954  >  513 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
105,36954  >  15003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
106,36954  >  2001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
107,36954  >  3828 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
108,36954  >  4001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
109,36954  >  873 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
110,36954  >  8086 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
111,36954  >  50389 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
112,36954  >  34572 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
113,36954  >  4444 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
114,36954  >  2191 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
115,36954  >  2119 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
116,36954  >  6100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
117,36954  >  43 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
118,36954  >  50003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
119,36954  >  903 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
120,36954  >  15660 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
121,36954  >  83 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
122,36954  >  26 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
123,36954  >  5061 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
124,"995  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
125,"53  >  36954 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
126,36954  >  53 [RST] Seq=1 Win=0 Len=0
127,36954  >  16992 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
128,36954  >  5911 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
129,36954  >  5810 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
130,36954  >  1034 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
131,36954  >  5002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
132,36954  >  30 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
133,36954  >  4848 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
134,36954  >  1106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
135,36954  >  5904 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
136,36954  >  2043 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
137,36954  >  20031 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
138,36954  >  1138 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
139,36954  >  7676 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
140,36954  >  49153 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
141,36954  >  55555 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
142,36954  >  801 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
143,36954  >  6779 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
144,36954  >  10012 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
145,36954  >  12265 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
146,36954  >  9003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
147,36954  >  32785 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
148,36954  >  1165 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
149,36954  >  4567 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
150,36954  >  4129 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
151,36954  >  9998 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
152,36954  >  1067 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
153,36954  >  6565 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
154,36954  >  6646 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
155,36954  >  49159 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
156,36954  >  2601 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
157,36954  >  34573 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
158,36954  >  18101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
159,36954  >  4900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
160,36954  >  16001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
161,36954  >  1721 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
162,36954  >  9081 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
163,36954  >  6006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
164,36954  >  2068 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
165,36954  >  37 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
166,36954  >  1718 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
167,36954  >  3814 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
168,36954  >  9595 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
169,36954  >  27353 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
170,36954  >  9485 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
171,36954  >  106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
172,36954  >  465 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
173,36954  >  57294 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
174,36954  >  5666 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
175,36954  >  1277 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
176,36954  >  2099 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
177,36954  >  1050 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
178,36954  >  25734 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
179,36954  >  3986 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
180,36954  >  3826 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
181,36954  >  1058 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
182,36954  >  24444 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
183,36954  >  1002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
184,36954  >  7019 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
185,36954  >  1658 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
186,36954  >  13 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
187,36954  >  2002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
188,36954  >  31038 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
189,36954  >  8292 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
190,36954  >  5962 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
191,36954  >  5003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
192,36954  >  49152 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
193,36954  >  4003 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
194,36954  >  6000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
195,36954  >  2121 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
196,36954  >  301 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
197,36954  >  8300 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
198,36954  >  8254 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
199,36954  >  5101 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
200,36954  >  5811 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
201,36954  >  10628 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
202,36954  >  3323 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
203,36954  >  81 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
204,36954  >  3261 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
205,36954  >  5802 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
206,36954  >  2144 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
207,36954  >  1687 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
208,36954  >  2399 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
209,36954  >  1192 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
210,36954  >  6106 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
211,36954  >  888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
212,36954  >  7921 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
213,36954  >  13722 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
214,36954  >  1169 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
215,36954  >  749 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
216,36954  >  2809 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
217,36954  >  3945 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
218,36954  >  4111 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
219,36954  >  765 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
220,36954  >  2196 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
221,36954  >  35500 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
222,36954  >  1935 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
223,36954  >  18040 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
224,36954  >  2869 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
225,36954  >  61532 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
226,36954  >  5226 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
227,"445  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
228,"80  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
229,"8888  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
230,"25  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
231,"23  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
232,"256  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
233,"199  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
234,36954  >  1117 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
235,36954  >  902 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
236,36954  >  55600 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
237,36954  >  1071 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
238,36954  >  2035 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
239,36954  >  6502 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
240,36954  >  1036 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
241,36954  >  2021 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
242,36954  >  5907 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
243,36954  >  5987 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
244,36954  >  7402 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
245,36954  >  2638 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
246,36954  >  5087 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
247,36954  >  4002 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
248,36954  >  5200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
249,36954  >  5910 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
250,36954  >  109 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
251,36954  >  406 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
252,36954  >  1126 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
253,36954  >  898 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
254,36954  >  2160 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
255,36954  >  2301 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
256,36954  >  3476 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
257,36954  >  79 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
258,36954  >  5009 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
259,36954  >  9207 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
260,36954  >  1717 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
261,36954  >  55056 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
262,36954  >  4899 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
263,36954  >  8010 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
264,36954  >  32768 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
265,36954  >  8088 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
266,36954  >  49400 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
267,36954  >  6510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
268,36954  >  7778 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
269,36954  >  5414 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
270,36954  >  8082 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
271,36954  >  416 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
272,36954  >  1152 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
273,36954  >  425 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
274,36954  >  2006 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
275,36954  >  981 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
276,36954  >  16113 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
277,"1025  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
278,"554  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
279,36954  >  1045 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
280,36954  >  1033 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
281,36954  >  6001 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
282,36954  >  1719 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
283,36954  >  9102 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
284,36954  >  32779 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
285,36954  >  1217 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
286,"3389  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
287,"8080  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
288,"587  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
289,"111  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
290,36954  >  1213 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
291,36954  >  1839 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
292,36954  >  2522 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
293,36954  >  8193 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
294,36954  >  1761 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
295,36954  >  9040 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
296,36954  >  2222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
297,36954  >  4550 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
298,36954  >  1072 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
299,36954  >  9110 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
300,36954  >  8099 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
301,36954  >  7007 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
302,36954  >  3878 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
303,36954  >  1198 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
304,36954  >  3168 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
305,36954  >  555 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
306,36954  >  64680 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
307,36954  >  2909 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
308,36954  >  41511 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
309,36954  >  9290 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
310,36954  >  8194 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
311,36954  >  1782 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
312,36954  >  5221 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
313,36954  >  49 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
314,36954  >  1038 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
315,36954  >  3703 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
316,36954  >  1041 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
317,36954  >  2047 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
318,36954  >  254 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
319,36954  >  5405 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
320,36954  >  7025 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
321,36954  >  16016 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
322,36954  >  1009 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
323,36954  >  617 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
324,36954  >  3995 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
325,36954  >  6689 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
326,36954  >  42 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
327,36954  >  49999 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
328,36954  >  8200 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
329,36954  >  25735 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
330,36954  >  1900 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
331,36954  >  2103 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
332,36954  >  8994 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
333,36954  >  545 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
334,36954  >  3372 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
335,36954  >  1053 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
336,36954  >  2702 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
337,36954  >  52822 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
338,36954  >  17 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
339,36954  >  1105 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
340,"443  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
341,"139  >  36954 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
342,36954  >  9898 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
343,36954  >  5801 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
344,36954  >  9099 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
345,36954  >  8000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
346,36954  >  1124 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
347,36954  >  161 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
348,36954  >  1107 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
349,36954  >  593 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
350,36954  >  5555 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
351,36954  >  1043 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
352,36954  >  2038 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
353,36954  >  3371 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
354,36954  >  2608 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
355,36954  >  7627 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
356,36954  >  7100 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
357,36954  >  1040 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
358,36954  >  125 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
